DAY_WEEK,CITY,RAIL,MAN_COLL,LATITUDE,WEATHER1,HARM_EV,MINUTE,WEATHER2,HOSP_HR,WEATHER,PEDS,ARR_HOUR,STATE,CF2,TWAY_ID,TWAY_ID2,PERSONS,CF3,WRK_ZONE,FATALS,NOT_MIN,ROUTE,DRUNK_DR,REL_ROAD,SCH_BUS,COUNTY,YEAR,MONTH,ST_CASE,CF1,NOT_HOUR,MILEPT,LGT_COND,VE_TOTAL,SP_JUR,HOSP_MN,VE_FORMS,NHS,ARR_MIN,LONGITUD,DAY,HOUR
1,1760,0000000,0,36.06871667,2,33,45,0,88,2,0,99,47,0,EDMONDSON PIKE,99999999999999999999,1,0,0,1,99,6,1,4,0,37,2009,9,470844,0,99,39,3,1,0,88,1,0,99,-86.73665833,20,19
7,1760,0000000,7,36.10898056,1,12,0,0,88,1,0,99,47,0,I-40,99999999999999999999,2,0,0,1,99,1,0,1,0,37,2009,10,470845,0,99,80,2,2,0,88,2,1,99,-86.92572222,24,19
5,1760,0000000,1,36.12506111,1,14,54,0,99,1,0,99,47,0,I-65,99999999999999999999,4,0,0,2,99,1,0,2,0,37,2009,10,470848,0,99,66,1,2,0,99,2,1,99,-86.77285556,22,14
1,1760,0000000,1,36.01726944,1,12,14,0,99,1,0,99,47,0,I-24,99999999999999999999,6,0,0,1,99,1,1,1,0,37,2009,10,470849,0,99,269,2,2,0,99,2,1,99,-86.62388333,25,20
7,1760,0000000,9,36.23195,1,12,15,0,99,1,0,99,47,0,BRICK CHURCH PIKE,99999999999999999999,4,0,0,1,99,6,1,1,0,37,2009,10,470850,0,99,18,1,2,0,99,2,0,99,-86.78154722,31,13
1,1760,0000000,1,36.24038056,1,12,47,0,99,1,0,99,47,0,SR-155,99999999999999999999,5,0,0,1,99,3,0,1,0,37,2009,11,470855,0,99,154,1,2,0,99,2,1,99,-86.74733611,1,15
7,1760,0000000,0,36.10889444,1,1,19,0,99,1,0,99,47,0,I-40,99999999999999999999,2,0,0,1,99,1,1,1,0,37,2009,7,470869,0,99,75,1,1,0,99,1,1,99,-86.92587778,4,8
2,1760,0000000,0,36.08160278,1,25,19,0,88,1,0,99,47,0,I-24,99999999999999999999,1,0,0,1,99,1,1,2,0,37,2009,11,470870,0,99,210,3,1,0,88,1,1,99,-86.69718611,9,1
4,1760,0000000,0,36.09355278,1,32,45,0,99,1,0,99,47,0,FRANKLIN LIMESTONE R,99999999999999999999,2,0,0,1,99,6,1,4,0,37,2009,11,470895,0,99,3,2,1,0,99,1,0,99,-86.65748056,18,5
2,1760,0000000,0,36.06075556,1,19,0,0,99,1,0,99,47,0,ANTIOCH PIKE,99999999999999999999,3,0,0,1,99,6,0,4,0,37,2009,12,470913,0,99,23,1,1,0,99,1,0,99,-86.67416944,14,11
6,1760,0000000,0,36.06869167,2,24,24,0,99,2,0,99,47,0,HAYWOOD LN,99999999999999999999,5,0,0,1,99,6,1,5,0,37,2009,12,470914,0,99,9,1,2,0,99,2,0,99,-86.703275,25,8
7,1760,0000000,0,36.24150556,1,8,48,0,99,1,1,99,47,0,US-SR6,99999999999999999999,5,0,0,1,99,2,0,1,0,37,2009,11,470928,0,99,167,3,1,0,99,1,0,99,-86.73678056,28,21
6,1760,0000000,5,36.05851944,1,12,35,0,88,1,0,99,47,0,TUSCULUM RD,HASTY DR,2,0,0,1,99,6,0,1,0,37,2009,12,470929,0,99,3,1,2,0,88,2,0,99,-86.71926111,4,12
6,1760,0000000,0,36.03720556,2,36,13,0,88,2,0,99,47,0,SR-171,99999999999999999999,2,0,0,1,99,3,0,4,0,37,2009,12,470930,0,99,17,1,2,0,88,2,0,99,-86.61087778,18,11
6,1760,0000000,7,36.14116667,2,14,58,0,99,2,1,99,47,0,I-40,99999999999999999999,2,0,0,1,99,1,1,2,0,37,2009,10,470931,0,99,222,3,2,0,99,1,1,99,-86.71788889,23,23
2,1760,0000000,0,36.14156667,1,25,37,0,88,1,0,99,47,0,I-40,,1,0,0,1,99,1,0,3,0,37,2010,1,470043,0,99,248,3,1,0,88,1,1,99,-86.67143333,11,0
2,1760,0000000,1,36.29193889,1,12,27,0,99,1,0,99,47,0,US-SR112,EATONS CREEK ROAD,2,0,0,1,99,2,0,1,0,37,2010,1,470090,0,99,87,2,2,0,99,2,0,99,-86.88379444,18,17
2,1760,0000000,6,36.14272222,4,12,13,0,99,4,0,99,47,0,I-40,,3,0,0,1,99,1,0,1,0,37,2010,2,470111,0,99,227,1,2,0,99,2,1,99,-86.70831667,1,13
5,1760,0000000,6,36.15586111,2,12,3,0,99,2,0,99,47,0,STEWARTS FERRY PIKE,I-40 E RAMP,4,0,0,1,99,6,0,1,0,37,2010,2,470115,0,99,2,3,2,0,99,2,0,99,-86.62908611,4,22
4,1760,0000000,0,36.07389722,1,8,35,0,88,1,1,99,47,0,US-SR1,WATERFORD CIRCLE,1,0,0,1,99,2,1,1,0,37,2010,2,470116,0,99,72,2,1,0,88,1,0,99,-86.92725278,24,2
4,1760,0000000,0,36.06145833,1,11,5,0,99,1,0,99,47,0,SR-100,,5,0,0,1,99,3,0,1,0,37,2010,2,470119,0,99,87,2,1,0,99,1,0,99,-86.90893611,17,20
2,1760,0000000,0,36.24391667,1,40,4,0,88,1,0,99,47,0,DOVERSIDE DRIVE,US-SR11,1,0,0,1,99,6,0,5,0,37,2010,3,470167,0,99,1,3,1,0,88,1,0,99,-86.75676944,1,20
6,1760,0000000,6,36.35236667,1,12,18,0,88,1,0,99,47,0,US-SR65,BAXTER ROAD,3,0,0,1,99,2,1,1,0,37,2010,3,470168,0,99,132,2,2,0,88,2,0,99,-86.87989444,12,19
3,1760,0000000,0,36.07921111,1,23,0,0,99,1,0,99,47,0,VAUGHNS GAP ROAD,HARDING PLACE,1,0,0,1,99,6,0,4,0,37,2010,1,470170,0,99,0,3,1,0,99,1,0,99,-86.88546111,19,18
2,1760,0000000,0,36.26366944,1,24,35,0,88,1,0,99,47,0,SR-45,,1,0,0,1,99,3,0,4,0,37,2010,3,470196,0,99,88,1,1,0,88,1,1,99,-86.67517778,29,13
1,1760,0000000,0,36.12261111,2,38,24,0,99,2,0,99,47,0,POST ROAD,,1,0,0,1,99,6,1,5,0,37,2010,1,470208,0,99,1,2,1,0,99,1,0,99,-86.85888611,24,23
4,1760,0000000,0,36.14338611,1,32,42,0,88,1,0,99,47,0,BELL ROAD,,1,0,0,1,99,6,1,4,0,37,2010,1,470209,0,99,53,2,1,0,88,1,0,99,-86.62669167,27,23
3,1760,0000000,0,36.07730278,2,42,20,4,99,4,0,99,47,0,I-40,,1,0,0,1,99,1,0,4,0,37,2010,2,470212,0,99,15,2,1,0,99,1,1,99,-87.01244722,9,5
3,1760,0000000,0,36.04221389,10,8,42,0,88,10,1,99,47,0,CEDARMONT DRIVE,,1,0,0,1,99,6,1,1,0,37,2010,2,470213,0,99,0,1,1,0,88,1,0,99,-86.70328056,9,11
6,1760,0000000,0,36.04395,2,30,0,0,88,2,0,99,47,0,SR-254,BROOKVIEW ESTATES DR,1,0,0,1,99,3,0,4,0,37,2010,3,470216,0,99,128,1,1,0,88,1,1,99,-86.69326944,12,7
2,1760,0000000,1,36.14075,4,12,25,0,99,4,0,99,47,0,I-40,,3,0,0,1,99,1,0,1,0,37,2010,1,470242,0,99,214,1,2,0,99,2,1,99,-86.72643889,4,9
6,1760,0000000,0,36.17598889,10,8,30,0,99,10,1,99,47,0,MAIN STREET,,1,0,0,1,99,6,0,1,0,37,2010,1,470243,0,99,5,1,1,0,99,1,0,99,-86.75717778,22,11
2,1760,0000000,0,36.11118611,1,40,18,0,99,1,0,99,47,0,SR-155,,1,0,0,1,99,3,0,4,0,37,2010,4,470244,0,99,14,1,1,0,99,1,0,99,-86.74888611,5,14
4,1760,0000000,6,36.28920278,1,12,56,0,99,1,0,99,47,0,US-SR112,,2,0,0,1,99,2,0,1,0,37,2010,3,470302,0,99,76,1,2,0,99,2,0,99,-86.88005556,17,12
3,1760,0000000,0,36.11830833,1,8,44,0,99,1,1,99,47,0,SR-251,,1,0,0,1,99,3,0,1,0,37,2010,4,470386,23,99,85,2,2,0,99,2,0,99,-86.92337778,6,19
3,1760,0000000,0,36.2736,1,42,31,0,88,1,0,99,47,0,OLD HICKORY BOULEVAR,,1,0,0,1,99,6,0,4,0,37,2010,4,470388,0,99,83,1,1,0,88,1,0,99,-86.84428333,13,15
1,1760,0000000,0,36.2992,1,30,11,0,88,1,0,99,47,0,US-SR112,,1,0,0,1,99,2,0,4,0,37,2010,5,470393,0,99,85,2,1,0,88,1,0,99,-86.88763056,9,3
2,1760,0000000,2,36.20331111,1,12,48,0,99,1,0,99,47,0,SR-12,,2,0,0,1,99,3,1,1,0,37,2010,5,470394,20,99,52,3,2,0,99,2,1,99,-86.85074167,10,19
5,1760,0000000,0,36.23596944,1,25,1,0,99,1,0,99,47,0,SR-155,,1,0,0,1,99,3,0,3,0,37,2010,5,470396,0,99,134,1,1,0,99,1,1,99,-86.70595278,13,17
5,1760,0000000,2,36.18433056,1,12,19,0,99,1,0,99,47,0,CENTRAL PIKE,,2,0,0,1,99,6,0,1,0,37,2010,6,470414,0,99,4,1,2,0,99,2,0,99,-86.62484722,10,13
