,Unnamed: 0,raw_row_number,date,time,location,lat,lng,precinct,reporting_area,zone,subject_age,subject_race,subject_sex,officer_id_hash,type,violation,arrest_made,citation_issued,warning_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,frisk_performed,search_conducted,search_person,search_vehicle,search_basis,reason_for_stop,vehicle_registration_state,notes,raw_verbal_warning_issued,raw_written_warning_issued,raw_traffic_citation_issued,raw_misd_state_citation_issued,raw_suspect_ethnicity,raw_driver_searched,raw_passenger_searched,raw_search_consent,raw_search_arrest,raw_search_warrant,raw_search_inventory,raw_search_plain_view,geometry,source,DAY_WEEK,CITY,RAIL,MAN_COLL,WEATHER1,HARM_EV,MINUTE,WEATHER2,HOSP_HR,WEATHER,PEDS,ARR_HOUR,STATE,CF2,TWAY_ID,TWAY_ID2,PERSONS,CF3,WRK_ZONE,FATALS,NOT_MIN,ROUTE,DRUNK_DR,REL_ROAD,SCH_BUS,COUNTY,YEAR,MONTH,ST_CASE,CF1,NOT_HOUR,HOUR,MILEPT,LGT_COND,VE_TOTAL,SP_JUR,HOSP_MN,VE_FORMS,NHS,ARR_MIN,DAY,cluster_label
21,21,,,,,36.26671389,-86.70906667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,6.0,1760.0,0000000,0.0,2.0,15.0,4.0,0.0,99.0,2.0,1.0,99.0,47.0,0.0,DUPONT AVE,99999999999999999999,2.0,0.0,0.0,1.0,99.0,6.0,0.0,1.0,0.0,37.0,2009.0,5.0,470366.0,0.0,99.0,18.0,1.0,1.0,1.0,0.0,99.0,1.0,0.0,99.0,15.0,2
22,22,,,,,36.04701111,-86.68123611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,5.0,1760.0,0000000,0.0,1.0,42.0,35.0,0.0,88.0,1.0,0.0,99.0,47.0,0.0,SR-254,99999999999999999999,1.0,0.0,0.0,1.0,99.0,3.0,1.0,4.0,0.0,37.0,2009.0,5.0,470367.0,0.0,99.0,11.0,136.0,1.0,1.0,0.0,88.0,1.0,1.0,99.0,21.0,0
23,23,,,,,36.38168333,-86.89479167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,2.0,1760.0,0000000,2.0,1.0,12.0,5.0,0.0,99.0,1.0,0.0,99.0,47.0,0.0,US-SR65,SYCAMORE CREEK RD,2.0,0.0,0.0,1.0,99.0,2.0,0.0,1.0,0.0,37.0,2009.0,4.0,470401.0,0.0,99.0,7.0,154.0,1.0,2.0,0.0,99.0,2.0,0.0,99.0,27.0,2
24,24,,,,,36.20611944,-86.75000833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,3.0,1760.0,0000000,0.0,1.0,18.0,25.0,0.0,99.0,1.0,0.0,99.0,47.0,0.0,US-SR6,99999999999999999999,2.0,0.0,0.0,1.0,99.0,2.0,0.0,1.0,0.0,37.0,2009.0,5.0,470402.0,0.0,99.0,20.0,133.0,2.0,2.0,0.0,99.0,2.0,1.0,99.0,19.0,2
25,25,,,,,36.27003611,-86.73668611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,4.0,1760.0,0000000,0.0,1.0,34.0,7.0,0.0,99.0,1.0,0.0,99.0,47.0,0.0,I-65,99999999999999999999,1.0,0.0,0.0,1.0,99.0,1.0,1.0,3.0,0.0,37.0,2009.0,5.0,470404.0,0.0,99.0,3.0,170.0,3.0,1.0,0.0,99.0,1.0,1.0,99.0,27.0,2
26,26,,,,,36.02812222,-86.63602778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,3.0,1760.0,0000000,0.0,1.0,36.0,5.0,0.0,88.0,1.0,0.0,99.0,47.0,0.0,I-24,99999999999999999999,1.0,0.0,0.0,1.0,99.0,1.0,0.0,4.0,0.0,37.0,2009.0,6.0,470414.0,0.0,99.0,1.0,259.0,2.0,1.0,0.0,88.0,1.0,1.0,99.0,2.0,0
27,27,,,,,36.07726944,-87.02937778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,4.0,1760.0,0000000,2.0,1.0,12.0,4.0,0.0,99.0,1.0,0.0,99.0,47.0,0.0,I-40,99999999999999999999,2.0,0.0,0.0,1.0,99.0,1.0,1.0,1.0,0.0,37.0,2009.0,5.0,470515.0,0.0,99.0,2.0,6.0,2.0,2.0,0.0,99.0,2.0,1.0,99.0,6.0,3
28,28,,,,,36.18920556,-86.62784167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,3.0,1760.0,0000000,1.0,1.0,12.0,26.0,0.0,99.0,1.0,0.0,99.0,47.0,0.0,US-SR24,99999999999999999999,5.0,0.0,0.0,1.0,99.0,2.0,0.0,1.0,0.0,37.0,2009.0,6.0,470516.0,0.0,99.0,14.0,252.0,1.0,3.0,0.0,99.0,2.0,0.0,99.0,23.0,4
29,29,,,,,36.20661389,-86.77789722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,6.0,1760.0,0000000,6.0,1.0,12.0,4.0,0.0,99.0,1.0,0.0,99.0,47.0,0.0,US-SR65,BRICK CHURCH PIKE,3.0,0.0,0.0,1.0,99.0,2.0,1.0,1.0,0.0,37.0,2009.0,7.0,470517.0,0.0,99.0,23.0,5.0,3.0,2.0,0.0,99.0,2.0,0.0,99.0,3.0,1
30,30,,,,,36.09772222,-86.70927222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,1.0,1760.0,0000000,0.0,2.0,5.0,42.0,0.0,99.0,2.0,0.0,99.0,47.0,19.0,I-24,99999999999999999999,5.0,0.0,0.0,1.0,99.0,1.0,0.0,1.0,0.0,37.0,2009.0,7.0,470519.0,14.0,99.0,17.0,195.0,1.0,4.0,0.0,99.0,4.0,1.0,99.0,5.0,0
31,31,,,,,36.08091389,-86.75155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,2.0,1760.0,0000000,0.0,2.0,30.0,13.0,0.0,99.0,2.0,0.0,99.0,47.0,0.0,SR-255,99999999999999999999,2.0,0.0,0.0,1.0,99.0,3.0,1.0,4.0,0.0,37.0,2009.0,6.0,470520.0,0.0,99.0,22.0,13.0,3.0,1.0,0.0,99.0,1.0,1.0,99.0,22.0,0
32,32,,,,,36.20523611,-86.58996944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,4.0,1760.0,0000000,2.0,2.0,12.0,0.0,0.0,99.0,2.0,0.0,99.0,47.0,0.0,TULIP GROVE RD,99999999999999999999,4.0,0.0,0.0,1.0,99.0,6.0,0.0,1.0,0.0,37.0,2009.0,7.0,470522.0,0.0,99.0,7.0,24.0,1.0,2.0,0.0,99.0,2.0,0.0,99.0,29.0,4
33,33,,,,,36.15225,-86.85769722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,3.0,1760.0,0000000,0.0,1.0,39.0,2.0,0.0,99.0,1.0,0.0,99.0,47.0,0.0,I-40,99999999999999999999,1.0,0.0,1.0,1.0,99.0,1.0,0.0,4.0,0.0,37.0,2009.0,7.0,470524.0,0.0,99.0,9.0,124.0,1.0,1.0,0.0,99.0,1.0,1.0,99.0,21.0,3
34,34,,,,,36.15795,-86.79160556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,7.0,1760.0,0000000,5.0,1.0,12.0,28.0,0.0,99.0,1.0,0.0,99.0,47.0,0.0,US-SR24,CHURCH ST,2.0,0.0,0.0,1.0,99.0,2.0,0.0,1.0,0.0,37.0,2009.0,2.0,470525.0,0.0,99.0,10.0,121.0,1.0,2.0,0.0,99.0,2.0,0.0,99.0,28.0,1
35,35,,,,,36.06785,-86.91715833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,2.0,1760.0,0000000,0.0,1.0,33.0,30.0,0.0,88.0,1.0,0.0,99.0,47.0,0.0,OLD HICKORY BLVD,99999999999999999999,1.0,0.0,0.0,1.0,99.0,6.0,0.0,4.0,0.0,37.0,2009.0,3.0,470577.0,0.0,99.0,11.0,5.0,1.0,1.0,0.0,88.0,1.0,0.0,99.0,23.0,3
